ID,floor,lift,district,street,community,area,toward,model,rent
rent0001,中楼层/6层,无,房山,良乡,行宫园二里,85.00㎡,南 北,2室2厅1卫,3500
rent0002,低楼层/17层,有,顺义,顺义其它,尚峯壹號,107.00㎡,南,3房间1卫,5400
rent0003,中楼层/6层,无,大兴,西红门,同兴园,72.00㎡,南 北,2室1厅1卫,3800
rent0004,中楼层/8层,有,顺义,后沙峪,智地香蜜湾,71.13㎡,东,3房间2卫,6900
rent0005,中楼层/4层,有,朝阳,酒仙桥,丽都壹号,54.41㎡,东,2室1厅1卫,9800
rent0006,高楼层/12层,有,朝阳,十八里店,江南山水,132.00㎡,南 北,3室2厅2卫,10000
rent0007,高楼层/6层,无,大兴,观音寺,宇丰苑,123.80㎡,南 北,3室1厅1卫,4500
rent0008,高楼层/16层,有,昌平,天通苑,天通苑中苑,152.81㎡,南 北,3室1厅2卫,10000
rent0009,低楼层/6层,无,昌平,东关,东关南里小区,81.22㎡,南 北,3房间1卫,
rent0010,中楼层/12层,有,大兴,大兴新机场,龙熙公馆,113.28㎡,南,3房间1卫,4000
rent0011,高楼层/6层,无,大兴,科技园区,明春西园,59.00㎡,东 西,2室1厅1卫,2900
rent0012,高楼层/15层,有,朝阳,十里河,林达海渔广场,77.96㎡,南,2房间1卫,6200
rent0013,高楼层/6层,无,顺义,首都机场,西平里,72.00㎡,南 北,2室1厅1卫,3500
rent0014,高楼层/15层,有,丰台,北京南站,嘉特美公馆,58.97㎡,西,3房间1卫,9000
rent0015,高楼层/6层,无,海淀,清河,阳光南里,102.00㎡,南 西北,3室2厅2卫,8500
rent0016,地下室/3层,无,朝阳,百子湾,中海安德鲁斯庄园西区,472.00㎡,南 北,7室2厅5卫,45000
rent0017,低楼层/2层,无,大兴,大兴新机场,独墅逸致,194.89㎡,东 南 西 北,5室3厅3卫,17200
rent0018,中楼层/11层,有,丰台,玉泉营,青秀城,123.00㎡,南 北,3室2厅2卫,9500
rent0019,高楼层/6层,,海淀,清河,卫生局宿舍,114.00㎡,南 北,5室2厅2卫,10000
rent0020,地下室/3层,有,朝阳,亚运村小营,亚运新新家园清花园二期,390.98㎡,南 北,1室1厅1卫,51000
rent0021,低楼层/3层,无,昌平,南邵,宜山居,230.00㎡,南 北,4室1厅2卫,18000
rent0022,高楼层/6层,无,通州,万达,新华小区,98.00㎡,南 北,3室1厅1卫,4500
rent0023,低楼层/8层,有,海淀,四季青,郦城工作区,113.60㎡,南,2房间1卫,21000
rent0024,低楼层/9层,有,昌平,北七家,金色漫香苑,188.00㎡,南 北,5室2厅2卫,12000
rent0025,低楼层/3层,无,海淀,海淀北部新区,半山枫林香山85号院,464.00㎡,南 北,7室2厅5卫,60000
rent0026,低楼层/23层,有,丰台,岳各庄,民岳家园三期,92.00㎡,东南 东北,2室1厅1卫,7500
rent0027,高楼层/12层,有,大兴,大兴新机场,富力丹麦小镇D区,143.55㎡,南,3室2厅2卫,5500
rent0028,中楼层/6层,无,大兴,高米店,原生墅,145.79㎡,东 西,3室2厅2卫,7000
rent0029,低楼层/3层,无,昌平,北七家,京基鹭府,480.00㎡,南 北,6室4厅6卫,40000
rent0030,低楼层/6层,无,顺义,顺义城,东兴二区,120.00㎡,南 北,3室1厅2卫,4300
rent0031,中楼层/6层,无,丰台,丰台其它,崔村一里,60.00㎡,南 北,3室1厅1卫,4000
rent0032,高楼层/11层,有,房山,长阳,半岛金街,56.15㎡,东,2房间1卫,2700
rent0033,高楼层/7层,无,昌平,北七家,名佳花园一区,112.00㎡,南 北,3室1厅2卫,5300
rent0034,高楼层/15层,有,丰台,北京南站,嘉特美公馆,48.42㎡,东南,2房间1卫,8000
rent0035,中楼层/28层,有,丰台,成寿寺,四方景园二区,96.13㎡,南,2室1厅1卫,8900
rent0036,高楼层/26层,有,门头沟,梧桐苑,泷悦长安伊顿园,174.56㎡,南 北,4室2厅3卫,16000
rent0037,中楼层/5层,无,通州,武夷花园,运河园,93.54㎡,南 北,2室1厅1卫,3800
rent0038,高楼层/16层,有,石景山,鲁谷,CRD银座,56.00㎡,北,3房间2卫,6000
rent0039,高楼层/4层,无,亦庄开发区,亦庄,境界,210.92㎡,南 北,4室2厅2卫,19000
rent0040,中楼层/8层,有,大兴,枣园,首开康乃馨城,76.00㎡,东北,3房间1卫,3600
rent0041,中楼层/26层,有,石景山,鲁谷,远洋山水,110.00㎡,南,2室1厅2卫,7800
rent0042,低楼层/10层,有,朝阳,常营,优点社区,127.31㎡,北,3室1厅2卫,9000
rent0043,低楼层/11层,无,朝阳,中央别墅区,景粼原著,139.00㎡,南 北,3室1厅2卫,23000
rent0044,高楼层/10层,有,通州,武夷花园,百合湾,47.00㎡,南,4房间2卫,5000
rent0045,低楼层/3层,,门头沟,门头沟其它,滨河楼小区,54.00㎡,南,2室1厅1卫,2250
rent0046,低楼层/11层,有,大兴,大兴其它,i立方,99.07㎡,南,4房间1卫,3850
rent0047,低楼层/22层,无,海淀,紫竹桥,豪柏大厦,210.00㎡,南,1室0厅0卫,30000
rent0048,低楼层/15层,有,顺义,天竺,万通天竺新新家园,113.00㎡,南 北,3室1厅1卫,13500
rent0049,地下室/0层,有,朝阳,北苑,恒大书院,177.00㎡,南 北,4室3厅3卫,32000
rent0050,低楼层/15层,有,石景山,杨庄,茂华景上景,54.00㎡,南,3房间1卫,6000
rent0051,低楼层/3层,有,房山,良乡,房山超级蜂巢,66.02㎡,西,2房间1卫,2900
