ID,floor,lift,district,street,community,area,toward,model,rent,totalfloor
0,中楼层,无,房山,良乡,行宫园二里,85.00,南北,2室2厅1卫,3500.0,6
1,低楼层,有,顺义,顺义其它,尚峯壹號,107.00,南,3室0厅1卫,5400.0,17
2,中楼层,无,大兴,西红门,同兴园,72.00,南北,2室1厅1卫,3800.0,6
3,中楼层,有,顺义,后沙峪,智地香蜜湾,71.13,东,3室0厅2卫,6900.0,8
4,中楼层,有,朝阳,酒仙桥,丽都壹号,54.41,东,2室1厅1卫,9800.0,4
5,高楼层,有,朝阳,十八里店,江南山水,132.00,南北,3室2厅2卫,10000.0,12
6,高楼层,无,大兴,观音寺,宇丰苑,123.80,南北,3室1厅1卫,4500.0,6
7,高楼层,有,昌平,天通苑,天通苑中苑,152.81,南北,3室1厅2卫,10000.0,16
8,中楼层,有,大兴,大兴新机场,龙熙公馆,113.28,南,3室0厅1卫,4000.0,12
9,高楼层,无,大兴,科技园区,明春西园,59.00,东西,2室1厅1卫,2900.0,6
10,高楼层,有,朝阳,十里河,林达海渔广场,77.96,南,2室0厅1卫,6200.0,15
11,高楼层,无,顺义,首都机场,西平里,72.00,南北,2室1厅1卫,3500.0,6
12,高楼层,有,丰台,北京南站,嘉特美公馆,58.97,西,3室0厅1卫,9000.0,15
13,高楼层,无,海淀,清河,阳光南里,102.00,南西北,3室2厅2卫,8500.0,6
14,地下室,无,朝阳,百子湾,中海安德鲁斯庄园西区,472.00,南北,7室2厅5卫,45000.0,3
15,低楼层,无,大兴,大兴新机场,独墅逸致,194.89,东南西北,5室3厅3卫,17200.0,2
16,中楼层,有,丰台,玉泉营,青秀城,123.00,南北,3室2厅2卫,9500.0,11
17,高楼层,未知,海淀,清河,卫生局宿舍,114.00,南北,5室2厅2卫,10000.0,6
18,地下室,有,朝阳,亚运村小营,亚运新新家园清花园二期,390.98,南北,1室1厅1卫,51000.0,3
19,低楼层,无,昌平,南邵,宜山居,230.00,南北,4室1厅2卫,18000.0,3
20,高楼层,无,通州,万达,新华小区,98.00,南北,3室1厅1卫,4500.0,6
21,低楼层,有,海淀,四季青,郦城工作区,113.60,南,2室0厅1卫,21000.0,8
22,低楼层,有,昌平,北七家,金色漫香苑,188.00,南北,5室2厅2卫,12000.0,9
23,低楼层,无,海淀,海淀北部新区,半山枫林香山85号院,464.00,南北,7室2厅5卫,60000.0,3
24,低楼层,有,丰台,岳各庄,民岳家园三期,92.00,东南东北,2室1厅1卫,7500.0,23
25,高楼层,有,大兴,大兴新机场,富力丹麦小镇D区,143.55,南,3室2厅2卫,5500.0,12
26,中楼层,无,大兴,高米店,原生墅,145.79,东西,3室2厅2卫,7000.0,6
27,低楼层,无,昌平,北七家,京基鹭府,480.00,南北,6室4厅6卫,40000.0,3
28,低楼层,无,顺义,顺义城,东兴二区,120.00,南北,3室1厅2卫,4300.0,6
29,中楼层,无,丰台,丰台其它,崔村一里,60.00,南北,3室1厅1卫,4000.0,6
30,高楼层,有,房山,长阳,半岛金街,56.15,东,2室0厅1卫,2700.0,11
31,高楼层,无,昌平,北七家,名佳花园一区,112.00,南北,3室1厅2卫,5300.0,7
32,高楼层,有,丰台,北京南站,嘉特美公馆,48.42,东南,2室0厅1卫,8000.0,15
